Video,Views,Yesterday,Published
Chris Brown - Shooter (Visualizer),"16,362,543","7,560",2023/11
Chris Brown - Who's Gonna (NOBODY) [Audio],"16,165,114","1,584",2015/12
Chris Brown - Love More (Official Video - Clean) ft. Nicki Minaj,"15,793,864",120,2013/08
Chris Brown - Holy Blindfold (Official Video),"15,647,596","25,656",2025/07
"Chris Brown - Only 4 Me (Audio) ft. Ty Dolla $ign, Verse Simmonds","15,168,036",576,2017/10
Chris Brown - Wrist (Audio) ft. Solo Lucci,"14,980,136","4,248",2015/12
Sevyn Streeter - Don't Kill The Fun ft. Chris Brown [Official Video],"14,729,293",,2015/02
Chris Brown - Make Love (Audio),"14,102,316","1,176",2015/12
Look At me Now - Justin Bieber and Chris Brown - Sydney Australia Surprise,"14,021,577",48,2011/04
"Chris Brown - Pills & Automobiles (Audio) ft. Yo Gotti, A Boogie Wit Da Hoodie, Kodak Black","13,647,555",840,2017/08
Chris Brown - Bouncing / G5 (Visualizer),"13,625,672","9,336",2023/11
Chris Brown - Feel Something (Visualizer),"13,446,924","9,576",2023/11
Chris Brown - Nightmares (Official Video) ft. Byron Messia,"13,334,191","3,336",2023/11
Pitbull - Fun (Lyric) ft. Chris Brown,"13,245,618",72,2015/06
"Chris Brown, Young Thug - Say You Love Me (Official Video)","13,109,478","1,296",2020/09
Chris Brown - Addicted (Audio) ft. Lil Baby,"12,991,490","2,736",2022/06
Chris Brown - Anyway (Official Audio) ft. Tayla Parx,"12,963,250",816,2015/12
Chris Brown - Lurkin' (Audio) ft. Tory Lanez,"12,799,916","3,240",2019/06
Chris Brown - Run It (Official HD Video),"12,787,796","2,256",2009/11
Chris Brown - Strip (Audio) ft. Kevin K-MAC McCall,"12,630,294",552,2011/11
Chris Brown - Little Bit (Audio),"12,545,015",888,2015/12
Chris Brown - You Like That (Audio),"12,535,466","3,384",2019/06
"Chris Brown, Tyga - Remember Me (Audio)","12,124,879",720,2015/02
Chris Brown - Lost & Found (Audio),"11,355,760",744,2017/10
"Chris Brown - Possessive (Audio) ft. Lil Wayne, BLEU","11,349,991","2,064",2022/06
Chris Brown - Talm' Bout (Official Video),"11,010,979","5,592",2023/05
Chris Brown - Confidence (Audio,"10,978,420",408,2017/10
Chris Brown - Dream (Audio),"10,905,882","5,808",2022/06
Chris Brown - Bruce Lee (Lyric Video),"10,720,779","7,488",2024/04
Chris Brown - WE (Warm Embrace) (Visualizer),"10,194,820","1,128",2022/04
Chris Brown - Girl Of My Dreams (Audio),"10,186,975","2,184",2019/06
Chris Brown - Psychic (Audio) ft. Jack Harlow,"10,136,207","1,152",2022/06
Chris Brown - Questions (Audio),"9,960,717",216,2017/08
Chris Brown - Sorry Enough (Audio),"9,858,861","1,224",2019/06
Chris Brown - Discover (Audio),"9,810,243","1,056",2015/12
Chris Brown - Heartbreak on a Full Moon (Audio),"9,566,823",936,2017/10
Chris Brown - U Did It (Official Audio) ft. Future,"9,048,793",768,2015/12
Chris Brown - BP / No Judgement (Audio),"8,989,033","1,440",2019/06
"Chris Brown - Loyal (West Coast Version) (Audio) ft. Lil Wayne, Too $hort","8,768,669","1,320",2013/12
Chris Brown - Everybody Knows (Audio),"8,758,740",504,2017/10
Chris Brown - Rock Your Body (Audio),"8,662,224",408,2017/10
Chris Brown - Blow It In The Wind (Audio),"8,528,402",912,2015/12
Chris Brown - Turn Up The Music (Official Audio),"8,440,261","1,152",2012/01
Chris Brown - On Me (Audio),"8,388,819","1,128",2017/10
Chris Brown - Fallin' (Official Video) ft. Leon Thomas,"8,331,630","118,200",2026/05
Chris Brown - Fine China Dance 1 Take,"8,122,845",576,2013/04
Chris Brown - Yellow Tape (Audio),"7,846,497",696,2017/10
Chris Brown - No One Else (Visualizer) ft. Fridayy,"7,823,889","12,336",2023/11
